,index,Status,Inversions,Speed /mph,Height /ft,Drop /ft,Length /ft,G-Force
1299,7926,0,2.0,50.0,70.0,114.6054131054131,1250.0,
1300,7991,0,3.0050420168067227,26.7,36.1,114.6054131054131,1017.1,2.5
1301,7997,1,2.0,25.7,50.0,114.6054131054131,1282.8,3.3
1302,8034,0,3.0050420168067227,28.0,37.8,24.8,1377.9,
1303,8038,1,4.0,53.7,117.8,111.8,2454.1,
1304,8039,0,3.0050420168067227,29.1,42.7,114.6054131054131,1377.9,2.5
1305,8058,1,1.0,55.0,87.93446200150488,108.0,6072.0,
1306,8085,1,2.0,65.3,151.6,114.6054131054131,492.2,5.0
1307,8110,0,3.0,45.51390243902439,78.8,114.6054131054131,1624.0,
1308,8138,1,3.0050420168067227,51.0,77.0,114.6054131054131,2891.0,
1309,8169,1,3.0050420168067227,45.0,80.0,65.0,2767.0,
1310,8180,1,3.0050420168067227,51.1,91.6,90.0,3393.0,3.6
1311,8204,1,3.0050420168067227,21.7,27.9,114.6054131054131,679.2,
1312,8212,1,3.0050420168067227,72.7,98.4,114.6054131054131,4330.8,
1313,8243,1,3.0050420168067227,37.3,65.6,114.6054131054131,606.9,
1314,8255,1,3.0050420168067227,21.7,27.9,114.6054131054131,679.2,
1315,8262,1,1.0,78.9,239.5,219.8,4051.8,
1316,8376,1,3.0050420168067227,28.9,44.3,114.6054131054131,1910.8,
1317,8443,1,3.0050420168067227,59.0,164.0,114.6054131054131,2516.4,
1318,8467,0,3.0050420168067227,31.1,82.0,114.6054131054131,1902.9,
1319,8503,1,4.0,58.0,135.0,120.0,3110.0,
1320,8515,0,1.0,47.8,80.4,114.6054131054131,1942.3,
1321,8519,1,3.0050420168067227,18.0,21.3,114.6054131054131,708.7,1.5
1322,8523,0,3.0,43.5,75.5,114.6054131054131,1624.0,
1323,8549,1,3.0050420168067227,58.4,103.3,101.8,3681.1,
1324,8559,1,4.0,53.0,120.0,114.6054131054131,1640.4,4.0
1325,8560,1,1.0,74.6,206.7,114.6054131054131,4921.3,5.0
1326,8586,0,2.0,37.3,64.0,114.6054131054131,1148.3,
1327,8661,1,3.0050420168067227,53.7,108.2,114.6054131054131,3197.0,
1328,8678,1,3.0050420168067227,25.0,37.0,25.0,1300.0,
1329,8683,0,3.0050420168067227,45.51390243902439,95.0,92.0,3340.0,
1330,8733,1,3.0050420168067227,53.4,147.7,98.4,1650.3,
1331,8737,1,3.0050420168067227,46.6,63.3,114.6054131054131,1486.3,3.5
1332,8782,1,3.0050420168067227,60.0,90.0,85.0,2900.0,
1333,8813,0,3.0050420168067227,37.3,180.0,114.6054131054131,2368.0,3.0
1334,8864,1,3.0050420168067227,28.6,36.1,114.6054131054131,921.9,
1335,8883,1,3.0050420168067227,45.51390243902439,13.0,114.6054131054131,262.5,
1336,8944,1,3.0050420168067227,55.9,105.0,114.6054131054131,2624.7,4.5
1337,9009,0,3.0050420168067227,43.0,65.0,114.6054131054131,1700.0,
1338,9065,1,3.0050420168067227,55.9,98.4,114.6054131054131,2821.5,
1339,9088,1,3.0050420168067227,11.2,41.0,114.6054131054131,885.8,
1340,9091,1,3.0050420168067227,45.51390243902439,38.7,114.6054131054131,889.1,1.2
1341,9113,1,5.0,50.0,105.0,114.6054131054131,2700.0,4.0
1342,9137,1,3.0050420168067227,45.6,80.5,70.7,2379.0,
1343,9171,1,3.0050420168067227,67.0,159.0,154.0,6442.0,
1344,9177,1,5.0,57.2,119.8,116.1,3559.7,
1345,9197,0,2.0,40.0,75.0,68.0,2400.0,
1346,9238,1,4.0,55.9,98.4,114.6054131054131,2296.6,
1347,9242,0,5.0,45.51390243902439,111.0,114.6054131054131,2562.0,
