,Name,Park,Location,Status,Inversions,Speed /mph,Height /ft,Drop /ft,Length /ft,G-Force,Layout,Manufacturer
2418,Dragon Khan,PortAventura Park,"Salou, Tarragona, Catalonia, Spain",Operating,8.0,65.0,148.0,161.0,4165.0,,,Bolliger & Mabillard
2419,4 Ring Roller Coaster,Sinma Kingdom,"Luquan, Shijiazhuang, Hebei, China",Operating,4.0,,,,,,,"Hebei Zhongye Metallurgical Equipment Manufacturing Co., Ltd"
2420,Klondike Gold Mine,Funland Amusement Park,"Hayling Island, Hampshire, England, United Kingdom",Defunct,1.0,,36.1,,1197.5,,,Pinfari
2421,Medusa,Six Flags Mexico,"Mexico City, Mexico",Defunct,,55.0,105.0,,3136.0,,,"Custom Coasters International, Inc."
2422,Slinky Dog Dash,Walt Disney World - Disney's Hollywood Studios,"Lake Buena Vista, Florida, United States",Operating,,,,,,,,Mack Rides GmbH & Co KG
2423,Octonauts Rollercoaster Adventure,Alton Towers,"Alton, Staffordshire, England, United Kingdom",Operating,,18.6,22.0,,469.2,,,Zamperla
2424,Brucomela,Eden Park,"Rome, Lazio, Italy",Operating,,,,,,,Big Apple / Wacky Worm,D.P.V. Rides
2425,Texas Cyclone,Six Flags AstroWorld,"Houston, Texas, United States",Defunct,,,93.0,80.0,3180.0,,Cyclone,Frontier Construction Company
2426,Cobra's Curse,Busch Gardens Tampa,"Tampa, Florida, United States",Operating,,40.0,70.0,,2100.0,,,Mack Rides GmbH & Co KG
2427,Bandit Bomber,Yas Waterworld,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Operating,,31.1,75.5,,1689.7,,,Vekoma
2428,Family Roller Coaster,People's Park,"Huangpu, Shanghai, China",Operating,,20.5,23.0,,649.6,,,Qin Long
2429,Wodan Timbur Coaster,Europa Park,"Rust, Baden Wuerttemberg, Germany",Operating,,62.1,131.2,,3444.9,3.5,,Great Coasters International
2430,Horská Bobová Dráha,Bobovka Lipno,"Lipno nad Vltavou, South Bohemian, Czechia",Operating,,,,,2559.1,,,Wiegand
2431,Longfeng Roller Coaster,Chuanlord Holiday Manor,"Shunde, Foshan, Guangdong, China",Operating,4.0,,,,,,,"Hebei Zhongye Metallurgical Equipment Manufacturing Co., Ltd"
2432,Pomme,Europark,"Vias, Occitanie, France",Operating,,,,,,,Big Apple / Wacky Worm,
2433,Dragonflier,Dollywood,"Pigeon Forge, Tennessee, United States",Operating,,,,,1486.2,,,Vekoma
2434,Wild West Mine Train,Ocean Park,"Hong Kong Island, Hong Kong, China",Operating,,47.2,68.9,,2329.4,,,Zamperla
2435,Huracan,Belantis,"Leipzig, Saxony, Germany",Operating,5.0,52.8,105.0,,1837.3,4.3,,Gerstlauer Amusement Rides GmbH
2436,Gliding Dragon,Longtan Park,"Yufeng, Liuzhou, Guangxi, China",Operating,,,,,,,Twin Helix,
2437,Tornado,Särkänniemi Amusement Park,"Tampere, Pirkanmaa, Finland",Operating,5.0,46.6,82.0,,2296.6,,,Intamin Amusement Rides
2438,Nor'Easter Mountain Coaster,Attitash Mountain Resort,"Bartlett, New Hampshire, United States",Operating,,25.0,,,4300.0,,,Aquatic Development Group
2439,Quantum,Mundo Aventura,"Bogotá, Cundinamarca, Colombia",Operating,,,49.3,,1082.7,,Zyklon / Galaxi,
2440,Die eiserne Schlange,RitterRost - Magic Park Verden,"Verden, Lower Saxony, Germany",SBNO,,22.4,26.3,,1181.1,,Double Figure Eight,Zierer
2441,Dubai Drone,VR Park Dubai,"Dubai, Dubai, United Arab Emirates",Operating,,,44.4,,1246.8,,,Gerstlauer Amusement Rides GmbH
2442,Adlerflug,Familypark,"St. Margarethen, Burgenland, Austria",Operating,,,,,,,U Shuttle,Sunkid Heege GmbH
2443,Cobra,West Midland Safari Park,"Bewdley, Worcestershire, England, United Kingdom",Defunct,3.0,47.0,116.5,,935.0,5.2,,Vekoma
2444,Breathtaker,Aspen Snowmass Ski Resort,"Snowmass Village, Colorado, United States",Operating,,28.0,,,,,,Wiegand
2445,Train du Colorado,Mer de Sable,"Ermenonville, Hauts-de-France, France",Defunct,,,,,,,,Soquet
2446,White Cyclone,Nagashima Spa Land,"Nagashima, Kuwana, Mie, Japan",Defunct,,63.4,139.0,129.0,5577.4,,,Intamin Amusement Rides
2447,Oblivion,Alton Towers,"Alton, Staffordshire, England, United Kingdom",Operating,,68.0,65.0,180.0,1222.0,4.5,,Bolliger & Mabillard
2448,Cyclone,Williams Grove Amusement Park,"Mechanicsburg, Pennsylvania, United States",SBNO,,,65.0,60.0,2300.0,,Out and Back,
2449,Gliding Dragon,Huangxing Park,"Yangpu, Shanghai, China",Defunct,,,,,,,Single Helix (right),Yunhai Youyi
2450,Bukkerittet,Kongeparken,"Ålgård, Rogaland, Norway",Operating,,29.1,42.7,,1377.9,2.5,Wild Mouse,Reverchon
2451,Troy,Toverland,"Sevenum, Limburg, Netherlands",Operating,,54.0,104.5,100.7,3534.0,2.4,,Great Coasters International
2452,Yukon Quad,Le Pal,"Dompierre Sur Besbre, Auvergne-Rhône-Alpes, France",Operating,,55.9,39.4,,3280.8,,,Intamin Amusement Rides
2453,Corkscrew,Silverwood Theme Park,"Athol, Idaho, United States",Operating,2.0,46.0,70.0,62.0,1250.0,,,Arrow Dynamics
2454,Jet Coaster,Takakonuma Greenland,"Date, Fukushima, Japan",Defunct,,,,,,,Terrain,
2455,Orphan Rocker,Scenic World,"Katoomba, New South Wales, Australia",SBNO,,28.0,82.0,,2755.9,,,
2456,Rattlesnake Coaster,Adventureland,"Farmingdale, New York, United States",Operating,,19.9,19.7,,652.9,,,Zierer
2457,Rougarou,Cedar Point,"Sandusky, Ohio, United States",Operating,4.0,60.0,145.0,137.0,3900.0,,,Bolliger & Mabillard
2458,Sommerrodelbahn,Alpincenter Bottrop,"Bottrop, North Rhine-Westphalia, Germany",Operating,,,,,2296.6,,,Wiegand
2459,Galactica,Alton Towers,"Alton, Staffordshire, England, United Kingdom",Operating,2.0,46.6,65.6,,2755.9,3.5,,Bolliger & Mabillard
2460,Crazy Mouse,Water Park,"Xinhua, Shijiazhuang, Hebei, China",Operating,,,,,,,Jungle Mouse,Chang Long
2461,Thunder Dolphin,Tokyo Dome City,"Bunkyo, Tokyo, Japan",Operating,,80.8,262.5,218.2,3500.0,,,Intamin Amusement Rides
2462,Tsunami,Six Flags Mexico,"Mexico City, Mexico",Operating,,22.4,26.3,,1181.1,,Double Figure Eight,Zierer
2463,Tantrum,Six Flags Darien Lake,"Darien Center, New York, United States",Operating,3.0,52.8,98.4,,1246.7,,,Gerstlauer Amusement Rides GmbH
2464,Märchen Coaster,Onokoro,"Awaji, Hyōgo, Japan",Defunct,,,,,,,,"Hoei Sangyo Co., Ltd."
2465,Starry Sky Ripper,Joyland,"Wujin, Changzhou, Jiangsu, China",Operating,5.0,54.7,131.3,104.3,2805.1,3.3,,Bolliger & Mabillard
2466,Corkscrew,Valleyfair!,"Shakopee, Minnesota, United States",Operating,3.0,50.0,85.0,,1950.0,,,Arrow Dynamics
2467,Monstre,La Ronde,"Montréal, Québec, Canada",Operating,,59.7,130.9,,4025.6,,,
2468,Wacky Worm,Lake Winnepesaukah,"Rossville, Georgia, United States",Operating,,,,,,,Big Apple / Wacky Worm,Fajume
2469,Space Car,Shiba Luohan Mountain Forest Park,"Nansha, Guangzhou, Guangdong, China",Operating,,,,,,,Single Helix (right),
2470,Rock 'n' Roller Coaster,Disneyland Paris - Walt Disney Studios Park,"Marne la Vallée, Île-de-France, France",SBNO,3.0,57.0,80.0,,3403.0,5.0,,Vekoma
2471,Whirl Wind Looping Coaster,Wonder Island,"Saint Petersburg, Saint Petersburg, Russia",Operating,2.0,37.3,64.0,,1148.0,,,Vekoma
2472,Gauntlet,Camelot Theme Park,"Chorley, Lancashire, England, United Kingdom",Defunct,1.0,,36.1,,1197.5,,,Pinfari
2473,Surfrider,Wet'n'Wild Water World,"Gold Coast, Queensland, Australia",Operating,,,,,,,U Shuttle,Intamin Amusement Rides
2474,Standing Coaster,Rusutsu Resort,"Rusutsu, Abuta, Shiribeshi, Hokkaido, Japan",Operating,1.0,46.6,82.0,,1394.3,,,Togo
2475,Krake,Heide Park Resort,"Soltau, Lower Saxony, Germany",Operating,1.0,64.0,134.5,,1561.7,,,Bolliger & Mabillard
2476,Hip Hop Coaster,Etnaland,"Belpasso, Sicily, Italy",Operating,,18.6,29.5,,574.2,,,Zamperla
2477,Roller Coaster,Natural World Amusement Park,"Yangon, Yangon, Myanmar",Operating,3.0,46.6,78.8,,,,,Beijing Shibaolai Amusement Equipment
2478,Jet Star 3,Parken Zoo,"Eskilstuna, Södermanland, Sweden",Defunct,,,44.3,,1919.3,,,Schwarzkopf
2479,El Loco,Adventuredome,"Las Vegas, Nevada, United States",Operating,2.0,45.0,90.0,,1300.0,,,S&S Sansei Technologies
2480,Cyclone,Lakeside Amusement Park,"Denver, Colorado, United States",Operating,,,80.0,80.0,2800.0,,,
2481,Batman,Malmö Folkets Park,"Malmö, Skåne, Sweden",Defunct,,,32.8,,,2.5,Wild Mouse,Fabbri
2482,Dragon,Playcenter Family,"Aricanduva, São Paulo, Brazil",Operating,,,,,,,Single Helix (center),Zamperla
2483,Dragon Wagon,Kidstar Park,"Port Charlotte, Florida, United States",Defunct,,,,,,,,Wisdom Rides
2484,Milky Way,Greenland,"Arao, Kumamoto, Japan",Operating,,,125.0,,2624.7,,,Togo
2485,Super Train Tokaido,Tivoli World,"Benalmádena, Málaga, Andalusia, Spain",Operating,,24.9,23.0,,639.8,,Figure Eight,
2486,Monster Mouse,Playland Park,"Rye, New York, United States",Defunct,,,,,,,Wild Mouse,Allan Herschell Company
2487,Diggy & Daggy's Tram Coaster,Tobu Zoo Park,"Minami, Saitama, Saitama, Japan",Operating,,15.5,11.5,,278.8,,Single Helix (center),"Hoei Sangyo Co., Ltd."
2488,Port of Sky Treasure,Sun World Danang Wonders,"Đà Nẵng, Vietnam",Operating,,,52.5,,2234.3,,,Vekoma
2489,Mighty Mouse,Playland's Castaway Cove,"Ocean City, New Jersey, United States",Defunct,,,,,,,Wild Mouse,Miler Manufacturing
2490,Twister Rollercoaster,Crealy Adventure Park,"Exeter, Devon, England, United Kingdom",Operating,,,,,,,Wild Mouse,SBF Visa Group
2491,Fiesta Express,Gorky Park,"Moscow, Moscow, Russia",Defunct,,,,,,,,Zamperla
2492,Thunderbird,PowerLand,"Kauhava, Southern Ostrobothnia, Finland",Operating,,48.0,82.0,80.0,2713.0,,Twister,Great Coasters International
2493,GaleForce,Playland's Castaway Cove,"Ocean City, New Jersey, United States",Operating,,64.0,125.0,,1269.0,4.0,,S&S Sansei Technologies
2494,Wabash Cannonball,Old Indiana Fun-n-Water Park,"Thorntown, Indiana, United States",Defunct,2.0,50.0,70.0,,1200.0,,,Arrow Dynamics
2495,Cú Chulainn,Tayto Park,"Ashbourne, Meath, Ireland",Operating,,56.0,105.0,105.8,3590.0,,,Gravitykraft Corporation
2496,Super Grover's Box Car Derby,SeaWorld Orlando,"Orlando, Florida, United States",Operating,,,,,,,,Zierer
2497,Speedy Bob,Bobbejaanland,"Lichtaart, Antwerp, Flemish Region, Belgium",Defunct,,28.0,45.9,,1213.9,,Wild Mouse,Mack Rides GmbH & Co KG
2498,Roller Coaster,Saigon Zoo And Botanical Garden,"Ho Chi Minh, Vietnam",Defunct,,,,,,,,Sấu Con
2499,Family Coaster,Taipei Childrens Recreation Center,"Taipei, Taipei, Taiwan",Defunct,,,,,,,,Zamperla
2500,Wiener Looping,Wiener Prater,"Vienna, Vienna, Austria",Defunct,1.0,50.0,131.0,,,,,Schwarzkopf
2501,Kampala Express,Knuthenborg Safaripark,"Maribo, Sjælland, Denmark",Operating,,,19.7,,328.1,,,Gerstlauer Amusement Rides GmbH
2502,Fairly Odd Coaster,Nickelodeon Universe,"Bloomington, Minnesota, United States",Operating,,31.0,54.0,,1345.0,,,Gerstlauer Amusement Rides GmbH
2503,Ghoster Coaster,Puriland,"West Jakarta, Jakarta, Indonesia",Operating,,,,,702.1,,,Zierer
2504,Tor Saneczkowy,Przemyśl - Stok Narciarski,"Przemyśl, Podkarpackie, Poland",Operating,,,,,1246.7,,,Wiegand
2505,Speedy,Super Park,"Córdoba City, Córdoba, Argentina",Operating,,,,,,,Big Apple / Wacky Worm,D.P.V. Rides
2506,Dragon,Legoland Malaysia,"Nusajaya, Johor, Malaysia",Operating,,,,,,,,Zierer
2507,Boomerang,Six Flags Mexico,"Mexico City, Mexico",Operating,3.0,47.0,116.5,,935.0,5.2,,Vekoma
2508,Pegasus,Efteling,"Kaatsheuvel, North Brabant, Netherlands",Defunct,,34.2,49.3,39.3,1615.0,3.5,,Intamin Amusement Rides
2509,Super Tornado,Mirabilandia,"Olinda, Pernambuco, Brazil",Operating,2.0,37.3,64.0,,1148.3,,,Vekoma
2510,Tryceratopous,Landora Temalı Park,"Istanbul, Istanbul, Turkey",SBNO,,,,,,,,I.E. Park
2511,Mad Mouse,Pleasure Garden,"Hitachi, Ibaraki, Japan",Defunct,,,,,,,Wild Mouse,"Senyo Kogyo Co., Ltd."
2512,Millennium,Fantasy Island,"Ingoldmells, Lincolnshire, England, United Kingdom",Operating,3.0,55.9,150.0,,2736.0,,,Vekoma
2513,Looping Star,Dreamland,"Margate, Kent, England, United Kingdom",Defunct,1.0,41.0,60.0,,1817.0,,,Schwarzkopf
2514,Coaster,Kappapia,"Takasaki, Gunma, Japan",Defunct,,,,,,,,
2515,Twister,Knoebels Amusement Park & Resort,"Elysburg, Pennsylvania, United States",Operating,,51.5,101.6,89.6,3900.0,,,
2516,Kiddie Coaster,Adventurers Family Entertainment Center,"Brooklyn, New York, United States",Defunct,,,,,,,Oval,
2517,Bob,Osteria Ai Pioppi,"Treviso, Veneto, Italy",Operating,,,,,,,,
2518,Joker,Six Flags New England,"Agawam, Massachusetts, United States",Operating,,38.0,120.0,54.0,1019.0,,,S&S Sansei Technologies
2519,Runaway Coaster,Funland Park,"Folkestone, Kent, England, United Kingdom",Defunct,,,,,,,Figure Eight,
2520,Typhoon Coaster,Land of Legends Theme Park,"Antalya, Antalya, Turkey",Operating,,53.4,141.1,,1722.4,,,Intamin Amusement Rides
2521,Roller Coaster,Holiday World - Wooland Fun Park,"Maspalomas, Las Palmas, Canary Islands, Spain",Defunct,,,,,,,Zyklon / Galaxi,
2522,Shenzhou Coaster,Beijing Shijingshan Amusement Park,"Shijingshan, Beijing, China",Operating,4.0,49.7,108.3,95.2,2624.7,,,Beijing Shibaolai Amusement Equipment
2523,Bobová Dráha,Dolní Morava Relax & Sport Resort,"Dolní Morava, Pardubice, Czechia",Operating,,,,,3628.6,,,Wiegand
2524,Texas Tornado,Wonderland Amusement Park,"Amarillo, Texas, United States",Operating,2.0,,80.0,,2050.0,,,Hopkins
2525,Fantasy Coaster,Nara Dreamland,"Nara, Nara, Japan",Defunct,,,,,,,,Meisho Amusement Machines
2526,Family Coaster Breeze,Sunny Island,"Gelendzhik, Krasnodar Krai, Russia",Operating,,,,,,,Single Helix (rear),Gros
2527,Scenic Railway,Luna Park,"Melbourne, Victoria, Australia",Operating,,,,,,,,
2528,Spinning Coaster,Wonder Land,"Dongpo, Meishan, Sichuan, China",Operating,,,,,,,Wild Mouse,Golden Horse
2529,Comet,Cascade Park,"New Castle, Pennsylvania, United States",Defunct,,,65.0,60.0,2400.0,,,National Amusement Device Company
2530,Grand National,Blackpool Pleasure Beach,"Blackpool, Lancashire, England, United Kingdom",Operating,,40.0,62.0,,3302.0,,,
2531,Altair,Cinecittà World,"Rome, Lazio, Italy",Operating,10.0,52.8,108.3,,2870.8,,,Intamin Amusement Rides
2532,Xtreme,Drievliet Family Park,"The Hague, Zuid-Holland, Netherlands",Defunct,,37.3,50.8,,1391.1,,,Maurer Rides GmbH
2533,Jungle Mouse,Pearl Land,"Zhuhai, Guangdong, China",Defunct,,,,,,,Jungle Mouse,
2534,Green Worm Coaster,Culture Park,"Qingyang, Chengdu, Sichuan, China",Operating,,,,,,,Single Helix (center),"Zhengzhou Limeiqi Amusement Equipment Co., Ltd"
2535,unknown,Nairamdal Park,"Ulaanbaatar, Mongolia",Defunct,,,,,,,Mite Mouse,
2536,Gipfelstürmer,Freizeitpark Ruhpolding,"Ruhpolding, Bavaria, Germany",Operating,,,,,,,,Gerstlauer Amusement Rides GmbH
2537,Texas Giant,Six Flags Over Texas,"Arlington, Texas, United States",Defunct,,62.0,143.0,137.0,4920.0,,,Dinn Corporation
2538,Bobsleds,Seabreeze,"Rochester, New York, United States",Operating,,23.0,31.0,,1240.0,,,
2539,Montaña Rusa,Parque Del Café,"Montenegro, Quindio, Colombia",Operating,,41.2,56.8,,2583.0,2.1,,Schwarzkopf
2540,Insane,Gröna Lund,"Stockholm, Stockholm, Sweden",Operating,,34.2,108.3,,810.4,3.5,,Intamin Amusement Rides
2541,Python,Coney Island,"Cincinnati, Ohio, United States",Defunct,,,40.0,,1100.0,,Zyklon / Galaxi,D.P.V. Rides
2542,Roller Coaster,Southport Pleasureland,"Southport, Merseyside, England, United Kingdom",Operating,1.0,,36.0,,1197.0,,,Pinfari
2543,Spinning Coaster,Jawa Timur Park 1,"Batu, East Java, Indonesia",Operating,,,,,,,Wild Mouse,Golden Horse
2544,Mad Mouse,Tokushima Familyland,"Tokushima, Tokushima, Japan",Operating,,,,,,,Mite Mouse,
2545,Nid des Marsupilamis,Parc Spirou Provence,"Monteux, Provence-Alpes-Côte d'Azur, France",Operating,,,93.5,,,,,Ride Engineers Switzerland
2546,iSpeed,Mirabilandia,"Savio, Emilia-Romagna, Italy",Operating,2.0,68.4,180.4,,3215.2,,,Intamin Amusement Rides
2547,Undertow,Santa Cruz Beach Boardwalk,"Santa Cruz, California, United States",Operating,,40.0,50.0,,1410.0,,,Maurer Rides GmbH
2548,Dragão,Parque Shanghai,"Rio De Janeiro, Rio De Janeiro, Brazil",Operating,,,,,,,Twin Helix,Zamperla
2549,Bob,Efteling,"Kaatsheuvel, North Brabant, Netherlands",Defunct,,37.3,65.6,,1719.2,,,Intamin Amusement Rides
2550,Himalaya,Legendia Śląskie Wesołe Miasteczko,"Chorzów, Śląskie, Poland",Defunct,,,,,1509.2,,Zyklon / Galaxi,
2551,Canopy Flyer,Universal Studios Singapore,"Sentosa, Singapore",Operating,,,,,,,,Setpoint
2552,Abismo,Parque de Atracciones de Madrid,"Madrid, Madrid, Community of Madrid, Spain",Operating,2.0,65.2,151.6,,1476.4,4.0,,Maurer Rides GmbH
2553,Little Dragon's Flight,Dragon Park,"Hạ Long, Quảng Ninh, Vietnam",Operating,,34.2,64.3,,1295.9,,,Vekoma
2554,Silber Mine,Gorky Park,"Moscow, Moscow, Russia",Defunct,,49.7,82.0,,1640.4,,,S.D.C.
2555,Dinosaur Mountain,China Dinosaurs Park,"Xinbei, Changzhou, Jiangsu, China",Operating,,30.0,82.0,,2034.1,3.5,,Zamperla
2556,Eurosat - CanCan Coaster,Europa Park,"Rust, Baden Wuerttemberg, Germany",Operating,,37.3,83.7,,3024.8,4.0,,Mack Rides GmbH & Co KG
2557,Corkscrew,Flamingo Land,"Malton, North Yorkshire, England, United Kingdom",Defunct,2.0,40.0,75.0,68.0,2400.0,,,Vekoma
2558,Big Apple,Botton's Pleasure Beach,"Skegness, Lincolnshire, England, United Kingdom",Operating,,,,,,,Big Apple / Wacky Worm,Pinfari
2559,Mini Jet Coaster,Kōno Park,"Saga, Saga, Japan",Operating,,,,,,,,
2560,Thunderbolt,Dreamworld,"Coomera, Queensland, Australia",Defunct,2.0,54.1,101.7,,3960.0,,,
2561,Soaring with Dragon,Hefei Sunac Land,"Baohe, Hefei, Anhui, China",Operating,1.0,77.7,196.8,,3438.3,,,Intamin Amusement Rides
2562,Montagnes du Grand Canyon,OK Corral,"Cuges-les-Pins, Provence-Alpes-Côte d'Azur, France",Defunct,,,,,,,Zyklon / Galaxi,Pinfari
2563,Space Mountain,Disneyland,"Anaheim, California, United States",Operating,,,,,,,,Dynamic Attractions
2564,Tomzak Otly,Ashgabat Recreation Park,"Ashgabat, Turkmenistan",Operating,,,,,,,Twin Helix,SBF Visa Group
2565,Avalanche,Jolly Roger Amusement Park,"Ocean City, Maryland, United States",Defunct,,,44.3,,1509.2,,,Schwarzkopf
2566,Dragon Coaster,Santa's Village AZoosment Park,"Dundee, Illinois, United States",Defunct,,,,,,,Single Helix (left),Wisdom Rides
2567,King Cobra,Kings Island,"Mason, Ohio, United States",Defunct,1.0,50.0,95.0,,2219.0,,,Togo
2568,Achterbahn,Bayern Park,"Reisbach, Bavaria, Germany",Operating,,,,,,,,Zierer
2569,Formula Rossa,Ferrari World Abu Dhabi,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Operating,,149.1,170.6,,6561.7,4.8,,Intamin Amusement Rides
2570,Jet Star,Aventura Park,"Callao, Callao, Peru",Defunct,,31.1,44.3,,1765.1,,,Schwarzkopf
2571,Sombrero,Jacquou Parc,"Le Bugue, Nouvelle-Aquitaine, France",Operating,,,,,328.1,,,Technical Park
2572,Fruit Worm Coaster,Elf Amusement Park,"Tianqiao, Jinan, Shandong, China",Operating,,,,,,,,"Zhongshan Playground Equipment Engineering Co., Ltd."
2573,Diamond Devil Run,Ratanga Junction,"Cape Town, Western Cape, South Africa",Defunct,,30.1,45.9,,2575.5,2.2,,Vekoma
2574,Santa's Sleigh Coaster,Santa's Workshop,"Wilmington, New York, United States",Operating,,,,,,,Oval,Molina & Son's
2575,Dynamite,Freizeitpark Plohn,"Lengenfeld, Saxony, Germany",Operating,3.0,62.1,144.4,,1640.4,,,Mack Rides GmbH & Co KG
2576,Jungle Flying Squirrel,Foshan Amusement Park,"Chancheng, Foshan, Guangdong, China",Defunct,,24.9,26.3,,,,Jungle Mouse,"Zhongshan Playground Equipment Engineering Co., Ltd."
2577,Rolling Mountain,Gunma Cycle Sports Center,"Minakami, Tone, Gunma, Japan",Defunct,,,,,,,,R&R
2578,Montagne Russe,Crazy Park,"Dar Bouazza, Casablanca-Settat, Morocco",Defunct,,,,,,,Zyklon / Galaxi,Interpark
2579,Sierra Tonante,Mirabilandia,"Savio, Emilia-Romagna, Italy",Defunct,,62.1,114.8,,3280.8,4.0,,
2580,Cannibal,Lagoon,"Farmington, Utah, United States",Operating,4.0,70.0,208.0,,2735.0,,,
2581,Dragon Wagon,Fun Stop,"Pigeon Forge, Tennessee, United States",Defunct,,,,,,,,Wisdom Rides
2582,Formule 1,Parc Saint Paul,"Saint-Paul, Hauts-de-France, France",Operating,,,49.3,,1246.8,,Wild Mouse,Pax Company
2583,Tuli-Tulá,Park do Gorilão,"Ribeirão Preto, São Paulo, Brazil",Operating,,,,,,,Big Apple / Wacky Worm,
2584,Centrifuge,World Expo Park,"Brisbane, Queensland, Australia",Defunct,,,,,,,,Vekoma
2585,Waku Waku Coaster,Tojoko Toy Kingdom,"Tojo, Hyōgo, Japan",Operating,,18.6,18.0,,485.5,,,"Hoei Sangyo Co., Ltd."
2586,Madagascar,Gandilandia Parque de Atracciones,"Grau i Platja, Valencian Community, Spain",Operating,,,,,,,Single Helix (center),
2587,Flashback,Great Escape,"Queensbury, New York, United States",Operating,3.0,47.0,116.5,,935.0,5.2,,Vekoma
2588,Ultra Twister,Nagashima Spa Land,"Nagashima, Kuwana, Mie, Japan",Operating,3.0,,,,,,,Togo
2589,K2,Karls Erlebnis-Dorf Elstal,"Wustermark, Brandenburg, Germany",Operating,,37.3,78.7,,1738.8,,,abc rides
2590,Spirale des Dunes,Bagatelle,"Merlimont, Hauts-de-France, France",Operating,,,,,,,,Soquet
2591,Hagrid's Magical Creatures Motorbike Adventure,Universal Studios Islands of Adventure,"Orlando, Florida, United States",Operating,,50.0,65.0,,5053.0,,,Intamin Amusement Rides
2592,Euro-Star,Gorky Park,"Moscow, Moscow, Russia",Defunct,4.0,50.2,98.9,,2769.0,5.2,,Intamin Amusement Rides
2593,Rolly Farm,Farah Park,"Amman, Amman, Jordan",Defunct,,,,,,,,I.E. Park
2594,Little Dragon's Flight,Dragon Park,"Hạ Long, Quảng Ninh, Vietnam",Operating,,34.2,64.3,,1295.9,,,Vekoma
2595,Mad Montanha,Ácqua Lokos,"Capão da Canoa, Rio Grande do Sul, Brazil",Operating,,,65.6,,1968.5,,,
2596,Blomberg-Blitz,Blombergbahn,"Bad Tölz, Bavaria, Germany",Operating,,24.9,,,4281.5,,,Wiegand
2597,Butterfly,Trampolino Familien- und Freizeitpark,"Andernach, Rhineland-Palatinate, Germany",Operating,,,,,,,U Shuttle,Sunkid Heege GmbH
2598,blue fire Megacoaster,Europa Park,"Rust, Baden Wuerttemberg, Germany",Operating,4.0,62.1,124.7,,3464.5,3.8,,Mack Rides GmbH & Co KG
2599,Raptor,Fantasilandia,"Santiago, Santiago, Chile",Operating,5.0,49.7,109.3,,2260.5,,,Vekoma
2600,SpongeBob's Boating School Blast,Sea World,"Surfers Paradise, Queensland, Australia",Operating,,,13.1,,262.5,,,Zamperla
2601,Roller Coaster,Foton World Fantasia," Muscat City, Muscat, Oman",Operating,,,,,,,,I.E. Park
2602,Brucomela,Park Aquarium,"São Paulo, São Paulo, Brazil",Operating,,,,,,,Big Apple / Wacky Worm,
2603,Wild Mouse Coaster,Clacton Pier,"Clacton-on-sea, Essex, England, United Kingdom",Operating,,,,,,,Big Apple / Wacky Worm,D.P.V. Rides
2604,Centi-SPEED,Alabama Adventure & Splash Adventure,"Bessemer, Alabama, United States",Operating,,,,,,,Big Apple / Wacky Worm,Fajume
2605,Euro-Star,Detskiy Park,"Anapa, Krasnodar Krai, Russia",Operating,4.0,50.2,98.9,,2769.0,5.2,,Intamin Amusement Rides
2606,Speedy,Super Park,"Córdoba City, Córdoba, Argentina",Operating,,,,,,,Big Apple / Wacky Worm,D.P.V. Rides
2607,Cobra,Zoomers Family Amusement Park,"Fort Myers Beach, Florida, United States",Operating,,,20.0,,,,,Wisdom Rides
2608,Windjammer Surf Racers,Knott's Berry Farm,"Buena Park, California, United States",Defunct,1.0,40.0,69.0,,1851.0,,,Togo
2609,Big Worm Inertia Train,Zhongshan Park,"Changning, Shanghai, China",Defunct,,,14.4,,459.3,,Big Apple / Wacky Worm,Sameco
2610,Jubilé,Selva Mágica,"Guadalajara, Jalisco, Mexico",Operating,,,,,,,Zyklon / Galaxi,Pinfari
2611,Twister,Gröna Lund,"Stockholm, Stockholm, Sweden",Operating,,38.0,51.0,46.0,1544.0,3.0,,Gravitykraft Corporation
2612,Motorbike Launch Coaster,Chimelong Paradise,"Panyu, Guangzhou, Guangdong, China",Operating,,49.7,,,1935.7,,,Vekoma
2613,Wild Mouse,Blackpool Pleasure Beach,"Blackpool, Lancashire, England, United Kingdom",Defunct,,,,,1266.0,,Wild Mouse,
2614,Munich Autobahn,Kobe Portopialand,"Chuo, Kobe, Hyōgo, Japan",Defunct,,43.5,85.3,,2139.1,3.0,,Mack Rides GmbH & Co KG
2615,Jet Coaster,Hachinohe Park,"Hachinohe, Aomori, Japan",Operating,,,,,,,,"Senyo Kogyo Co., Ltd."
2616,HerrlohBlitz,Skiliftkarussell Winterberg,"Winterberg, North Rhine-Westphalia, Germany",Operating,,,,,,,,Brandauer
2617,Supersonic Odyssey,Berjaya Times Square Theme Park,"Kuala Lumpur, Kuala Lumpur, Malaysia",Operating,3.0,43.5,124.0,,2624.0,,,Intamin Amusement Rides
2618,Storm Coaster,Sea World,"Surfers Paradise, Queensland, Australia",Operating,,,,,,,,Mack Rides GmbH & Co KG
2619,Desert Storm,Castles n' Coasters,"Phoenix, Arizona, United States",Operating,2.0,,,,,,,Hopkins
2620,Sea Serpent,Santa Cruz Beach Boardwalk,"Santa Cruz, California, United States",Operating,,,,,,,,E&F Miler Industries
