,Name,Park,Location,Status,Inversions,Speed /mph,Height /ft,Drop /ft,Length /ft,G-Force,Layout,Manufacturer
373,Bobsleigh,Nigloland,"Dolancourt, Grand Est, France",Defunct,,,,,,,,Schwarzkopf
374,Roller Coaster,Taipei Children's Amusement Park,"Taipei, Taipei, Taiwan",Operating,,24.6,39.3,,951.4,,,I.E. Park
375,Shinpi,Nasu Highland Park,"Nasu, Nasu, Tochigi, Japan",Operating,,,,,,,,Zamperla
376,Wild Mouse,Flamingo Land,"Malton, North Yorkshire, England, United Kingdom",Defunct,,28.0,49.3,,1213.9,,Wild Mouse,Maurer Rides GmbH
377,Gyldenklo,Bjørneparken Wildlife Zoo,"Flå, Buskerud, Norway",Operating,,,,,,,Big Apple / Wacky Worm,
378,Dragon Flyer,Camelot Theme Park,"Chorley, Lancashire, England, United Kingdom",Defunct,,,,,,,,S.C. Italy
379,Mine Train,PowerLand,"Kauhava, Southern Ostrobothnia, Finland",Operating,,,13.0,,262.5,,Single Helix (center),Zamperla
380,Outlaw Mountain Coaster,Steamboat Resort,"Steamboat Springs, Colorado, United States",Operating,,26.7,40.0,,6281.1,,,Wiegand
381,Train du Colorado,Mer de Sable,"Ermenonville, Hauts-de-France, France",Defunct,,,,,,,,Soquet
382,Steep Roller Coaster,Center for Cultural District 12,"District 12, Ho Chi Minh, Vietnam",Defunct,,,,,,,Oval,
383,Cagliostro,Rainbow MagicLand,"Valmontone, Lazio, Italy",Operating,,36.0,55.8,,1410.8,,,Maurer Rides GmbH
384,Coccinelle,Walibi Belgium,"Wavre, Walloon Brabant, Wallonia, Belgium",Defunct,,16.2,10.8,,197.5,,Oval,Zierer
385,Steel Force,Dorney Park & Wildwater Kingdom,"Allentown, Pennsylvania, United States",Operating,,75.0,200.0,205.0,5600.0,,,Morgan
386,All American Coaster,Brookhaven Exchange Club Park,"Brookhaven, Mississippi, United States",Operating,,,,,,,Oval,B. A. Schiff & Associates
387,Drachen-Achterbahn,Tier- und Freizeitpark Thüle,"Friesoythe-Thüle, Lower Saxony, Germany",Operating,,24.2,29.5,,728.3,,,Zierer
388,Dragon's Run,Dragon Park,"Hạ Long, Quảng Ninh, Vietnam",Operating,6.0,65.0,150.0,,3738.0,,,Bolliger & Mabillard
